"SkinID","Name","arrowin","btn_close_hover","qficon","btn_close_normal","clienta","btn_close_pressed","activity","calc","cap_left_inactive","cap_centre_inactive","cap_left_active","cap_centre_active","logo_left","cap_right_active","logo_centre","appointments","logo_right","contacts","companies","email","export","sms","ParentTaskBorderNormal","ParentTaskTopNormal","ParentTaskBottomNormal","ParentTaskTextNormal","ParentTaskBorderHover","ParentTaskTopHover","ParentTaskBottomHover","ParentTaskTextHover","ParentTaskBorderPressed","ParentTaskTopPressed","ParentTaskBottomPressed","ParentTaskTextPressed","ChildTaskBorderNormal","ChildTaskTopNormal","ChildTaskBottomNormal","ChildTaskTextNormal","ChildTaskBorderHover","ChildTaskTopHover","ChildTaskBottomHover","ChildTaskTextHover","ChildTaskBorderPressed","ChildTaskTopPressed","ChildTaskBottomPressed","ChildTaskTextPressed","GeneralBack","ParentTaskHeight","ChildTaskHeight","ChildTaskPadX","ChildTaskPadY","AccelerationStart","AccelerationIncrement","AccelerationInterval","ParentTaskNormalFace","ParentTaskNormalSize","ParentTaskNormalBold","ParentTaskNormalItalic","ParentTaskNormalUnderline","ParentTaskHoverFace","ParentTaskHoverSize","ParentTaskHoverBold","ParentTaskHoverItalic","ParentTaskHoverUnderline","ParentTaskPressedFace","ParentTaskPressedSize","ParentTaskPressedBold","ParentTaskPressedItalic","ParentTaskPressedUnderline","ChildTaskNormalFace","ChildTaskNormalSize","ChildTaskNormalBold","ChildTaskNormalItalic","ChildTaskNormalUnderline","ChildTaskHoverFace","ChildTaskHoverSize","ChildTaskHoverBold","ChildTaskHoverItalic","ChildTaskHoverUnderline","ChildTaskPressedFace","ChildTaskPressedSize","ChildTaskPressedBold","ChildTaskPressedItalic","ChildTaskPressedUnderline","Active","CtrlTopNormal","CtrlBottomNormal","CtrlFontNormal","CtrlTopHover","CtrlBottomHover","CtrlFontHover","LastEdited","cap_right_inactive","LvwColour","CtrlFaceDisabled","TabHighlight","CtrlDisabled","requiredFields"
"25","Fusion CRM 3 - Enforce","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2012-03-08 09:46:09","unknown_value_please_contact_support","","","","",""
"26","Fusion CRM 3 - Lucid","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#425154","#465558","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2012-01-23 13:13:06","unknown_value_please_contact_support","","","","",""
"27","Fusion CRM 3 - FerroTech","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&H1A3DDE","&H72CFF7","","&HE3DFE0","&HDEA57C","","2011-02-10 08:58:35","unknown_value_please_contact_support","","","","",""
"28","Fusion CRM 3 - Default","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#395FAA","#000080","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#CFCFCF","#F7F7F7","#F7F7F7","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","0","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","8","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2012-03-07 14:15:30","unknown_value_please_contact_support","","","","",""
"29","Fusion CrM 3 -GDPO","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#DFDFDF","#AFAFAF","#400040","#000000","#9F9F9F","#5F5F5F","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2012-01-23 13:13:07","unknown_value_please_contact_support","","","","",""
"30","Fusion CRM 3 - Lapp Kabel","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2011-04-24 11:39:27","unknown_value_please_contact_support","","","","",""
"31","Fusion CRM 3 - MVTronics","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2011-01-06 13:54:05","unknown_value_please_contact_support","","","","",""
"32","Fusion CRM 3 - Westcon","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2012-01-23 13:13:08","unknown_value_please_contact_support","","","","",""
"33","Fusion CRM 3 - Tiger Guard Gear","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","unknown_value_please_contact_support","#000000","#80A9E1","#153987","#FFFFFF","#000000","#BFE4FF","#759DD8","#FFFFFF","#000000","#153987","#80A9E1","#FFFFFF","#C0C0C0","#C0C0C0","#C0C0C0","#000000","#C0C0C0","#FFFFFF","#C0C0C0","#000000","#000000","#FFFFFF","#C0C0C0","#000000","#C0C0C0","30","25","4","5","5","5","20","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","1","0","0","Trebuchet MS","10","0","0","0","Trebuchet MS","10","-1","0","0","Trebuchet MS","10","0","0","0","0","&HF9D7CA","&HAF6B45","","&HE3DFE0","&HDEA57C","","2012-01-23 13:13:09","unknown_value_please_contact_support","","","","",""
